arrival_id,date,mandi_id,crop_name,variety,arrival_quantity_qtl,farmer_count
ARR0012424,06-04-2026,MANDI026,Wheat,Hybrid,448.41,128.0
ARR0008271,2026-06-02,MANDI014,Wheat,HD-2967,332.54,33.0
ARR0022724,08-16-2026,MANDI056,Wheat,HD-2967,,
ARR0012573,06-24-2026,MANDI019,Maize,,-1.0713,112.0
ARR0012098,09.08.2026,MANDI050,Maize,Premium,-331.59,
ARR0013701,2026-03-31,MANDI049,Sugarcane,Local,119.93,105.0
ARR0010753,10/07/2026,MANDI054,Cotton,HD-2967,187.68,45.0
ARR0022123,15/07/2026,MANDI045,Mustard,Hybrid,,24.0
ARR0003275,04-08-2026,MANDI029,Mustard,PBW-343,14.84,129.0
ARR0002542,2026-08-14,MANDI010,Mustard,Pusa-1121,93.28,109.0
ARR0016719,2026-05-25,MANDI044,Maize,PBW-343,38.370000000000005,80.0
ARR0019527,02/08/2026,MANDI042,Maize,HD-2967,170.77,26.0
ARR0009636,31/03/2026,MANDI056,Maize,HD-2967,37.3,
ARR0010366,16/01/2026,MANDI011,Sugarcane,Pusa-1121,44.83,65.0
ARR0005837,27.06.2026,MANDI025,Wheat,,454.74,
ARR0002387,18.01.2026,MANDI050,Sugarcane,HD-2967,15.18,
ARR0024112,2026-08-09,MANDI006,Mustard,,34.63,102.0
ARR0010546,2026/01/09,MANDI039,Wheat,,415.77,139.0
ARR0002154,03-20-2026,MANDI001,Rice,HD-2967,396.46,61.0
ARR0020380,06-03-2026,MANDI028,Mustard,Pusa-1121,99.87,
ARR0021641,15-Aug-2026,MANDI045,Mustard,HD-2967,391.19,41.0
ARR0004098,25-Mar-2026,MANDI027,Cotton,Pusa-1121,111.01,137.0
,18.06.2026,MANDI026,Maize,Pusa-1121,264.38,96.0
ARR0006088,12-Aug-2026,MANDI019,Sugarcane,HD-2967,373.93,121.0
ARR0021143,30.04.2026,MANDI024,Mustard,Premium,70.49,7.0
ARR0019959,21/08/2026,MANDI022,Maize,PBW-343,383.43000000000006,85.0
ARR0001442,2026/05/31,MANDI044,Rice,Local,113.89,97.0
ARR0004480,08.04.2026,MANDI045,Wheat,Local,159.1,102.0
ARR0021197,28-Aug-2026,MANDI021,Sugarcane,Hybrid,197.48,
ARR0020628,12-Jun-2026,MANDI012,Sugarcane,PBW-343,350.53000000000003,71.0
ARR0001665,30.07.2026,MANDI055,Rice,Local,406.67,
ARR0002938,04-Jul-2026,MANDI016,Wheat,,162.36,114.0
ARR0019350,25/03/2026,MANDI001,Wheat,Premium,190.73,
ARR0020205,2026-07-05,MANDI037,Maize,Hybrid,73.47,17.0
ARR0015292,2026/07/15,MANDI037,Wheat,PBW-343,,53.0
ARR0019616,10/04/2026,MANDI008,Maize,Hybrid,82.61,
