record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp
PR001650,2026/07/26,MANDI005,,Kapas,6850.985817820893,"₹7,570.17",7210.58,"₹6,620.00"
PR000246,2026-07-17,MANDI028,Fatehabad,कपास,"₹6,944.79",7654.18,"Rs. 7,299",
PR010091,09.01.2026,MANDI011,Jalandhar,Dhaan,"Rs. 1,857",2013.18,"₹1,935.06","INR 2,183"
PR000982,2026/05/24,M012,Ferozepur,corn,"₹1,873.34","Rs. 1,986","Rs. 1,930","Rs. 2,090"
PR001708,18/08/2026,013,Karnal,Cotton,"5,878.62/-",6574.283051769212,6226.45,"Rs. 6,620"
PR004312,01-24-2026,MANDI001,Patiala,Kapas,,"₹7,324.58",,"6,620.00/-"
PR000288,08-Aug-2026,M031,Hisar,Kanak,"₹2,270.14",2823.4429693584902,"2,546.79/-","₹2,275.00"
PR002536,2026-01-06,M036,Kurukshetra,WHEAT,"₹1,961.63","Rs. 2,340","INR 2,151",2275
PR009427,12-Aug-2026,MANDI-050,,Gehun,2277.53,"INR 2,458","₹2,367.64","2,275.00/-"
PR003418,09.02.2026,M011,Ambala,गन्ना,"₹3,156.94",3890.02,,"Rs. 3,500"
PR001250,10/02/2026,MANDI002,Ambala,corn,"Rs. 1,866","INR 2,193","Rs. 2,029","Rs. 2,090"
PR008959,24.06.2026,mandi_057,,सरसों,,"Rs. 6,850","Rs. 6,290","Rs. 5,650"
PR004344,2026-04-14,mandi_040,Amritsar,Dhaan,1989.0202736774606,"2,138.04/-","₹2,063.53",2183
PR008040,25-Jun-2026,MANDI053,Ludhiana,Kanak,"INR 2,016","Rs. 2,300",2158.4,"Rs. 2,275"
PR002773,06/04/2026,mandi_050,Ambala,Ganna,"₹3,391.89","₹4,215.91","INR 3,804","Rs. 3,500"
PR007582,24.01.2026,M043,Ferozepur,Dhaan,,2521.03,2303.861807881144,"₹2,183.00"
PR001390,06-17-2026,MANDI026,Patiala,Sugarcane,"₹3,661.39",4282.71,3972.05,"Rs. 3,500"
PR011220,17/01/2026,MANDI-010,Bathinda,Kapas,"INR 6,054",7147.5,"Rs. 6,601",6620
PR008656,26/03/2026,mandi005,Patiala,Basmati,2172.99,"2,312.15/-",,
PR000719,2026-04-29,,Kurukshetra,Makka,"INR 1,878",2114.21,,"₹2,090.00"
PR005849,2026/01/23,MANDI016,Patiala,cotton,"Rs. 6,473",7364.56,"₹6,918.61","Rs. 6,620"
PR007394,25.03.2026,MANDI024,Karnal,sugarcane,"₹3,074.76",3382.79,"Rs. 3,229","₹3,500.00"
PR004644,2026/05/25,026,,mustard,"INR 5,725","₹6,263.77",5994.455824860666,5650
PR002514,21/07/2026,MANDI007,Hisar,corn,1988.4744912268284,"2,299.86/-",2144.167343486675,"INR 2,090"
PR010213,02-17-2026,mandi_043,Jalandhar,wheat,"Rs. 1,958","INR 2,157","2,057.30/-",2275
PR011212,31-May-2026,MANDI008,,sugarcane,3280.592160219738,4064.73,"₹3,672.66","INR 3,500"
