trip_id,date,mandi_id,destination_warehouse,transit_hours,distance_km,vehicle_no,driver_id
TRP006374,2026-05-01,MANDI050,WH-Central,9.3,491.99862492888,,DRV264
TRP008869,2026-04-10,MANDI029,WH-West,,263.5,,DRV540
TRP000674,,MANDI024,WH-South,6.2,276.5,UP50BC6882,DRV722
TRP000036,,MANDI-042,WH-Central,19.7,1070.7,RJ52CD3274,DRV103
TRP008288,,mandi_019,WH-South,17.1,728.9,DL73DF1458,
TRP003456,,038,Export-Terminal,7.3,417.0,UP97BC6135,DRV255
TRP005236,2026-07-05,mandi041,WH-West,14.9,671.9,PB99BC2796,DRV297
TRP007075,,023,WH-West,6.4,362.6,PB48DF3590,
TRP002222,2026-05-02,mandi_033,WH-North,12.0,549.5,DL55BC7556,DRV662
TRP004565,2026-09-05,MANDI054,WH-West,9.4,424.8,PB83DF2210,DRV201
TRP008152,2026-05-02,mandi_019,WH-Central,9.5,553.3,PB53AB4593,DRV920
TRP000484,,mandi_018,Export-Terminal,15.7,798.0,PB65AB4841,
TRP006460,,MANDI011,WH-East,5.3,275.0,DL48CD9566,DRV803
TRP005643,,mandi_009,WH-Central,13.1,716.3,HR45AB2105,DRV326
TRP005033,,mandi_048,WH-East,13.5,716.4,,DRV415
TRP005838,,MANDI017,WH-Central,,1000.8,HR67CD5973,DRV626
TRP003149,,MANDI033,WH-North,7.7,316.5,PB62CD5129,DRV342
TRP009930,,mandi_048,WH-South,,486.0,UP40DF1180,DRV783
TRP008787,,MANDI022,WH-South,,244.3,HR57BC1128,DRV403
TRP005653,,mandi_032,WH-South,17.2,979.6972618756581,HR49CD3613,DRV654
TRP008175,,mandi_047,WH-North,23.2,1013.8971662914461,HR39AB7971,DRV497
TRP005795,,MANDI020,WH-South,23.6,1390.6,,DRV947
TRP005283,,MANDI-039,WH-West,,315.7,HR39CD5921,DRV622
TRP004378,,M035,WH-East,6.0,334.09906623727403,HR74CD9527,DRV270
TRP007392,,M025,WH-Central,,538.5,RJ62CD6359,DRV958
TRP001559,,mandi_041,WH-South,13.3,671.1,UP60CD2446,DRV650
TRP001433,,M029,WH-West,4.8,261.7,UP39BC3131,DRV765
TRP000040,,mandi006,WH-South,,877.8,UP24BC3811,DRV670
TRP003996,,MANDI008,WH-East,,715.6,HR93DF5165,
TRP007461,,MANDI-004,WH-West,21.1,995.7,PB71BC6631,
TRP005973,,MANDI048,Export-Terminal,13.4,643.49820150759,DL70CD1378,DRV423
TRP005174,,MANDI054,WH-Central,,835.5,HR75AB3097,DRV499
TRP000961,,MANDI043,WH-North,20.1,1164.096746503474,DL61BC2591,DRV807
TRP000933,,MANDI009,WH-North,10.1,585.5,,DRV613
TRP007465,2026-02-08,mandi_044,Export-Terminal,17.8,835.297665453442,RJ45AB4860,DRV224
TRP009213,,MANDI039,WH-West,2.3,110.1,DL75CD5891,
TRP008147,,MANDI019,WH-North,16.3,886.8975212386661,HR30BC9997,DRV384
TRP006177,,mandi036,WH-West,4.1,196.7,PB73AB4041,DRV497
TRP007259,,MANDI048,WH-North,12.2,620.1,DL59BC5485,DRV350
TRP000034,,MANDI057,WH-West,8.9,437.5,DL65AB3380,DRV761
TRP001251,,MANDI039,WH-West,6.4,257.7,HR17AB1638,DRV299
TRP003527,,MANDI055,WH-North,4.1,239.699330072058,PB25BC1517,DRV630
TRP008904,,MANDI056,WH-North,20.3,1115.4,PB28DF8439,DRV544
TRP001537,,mandi012,WH-West,15.1,835.3,RJ10AB4277,
